X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.00260689286703949,35.51273887795624,0.5194291574036295
2.0,2.0,train,0.006285309276343573,54.96582525251145,0.8291141603284956
3.0,3.0,train,0.009423169986186947,67.81320110819784,0.929263373316201
4.0,4.0,train,0.009362290712056383,66.87089534540002,0.928042457006604
5.0,5.0,train,0.010767094580585185,70.92184619026293,0.951517881672443
6.0,6.0,train,0.011921303601536632,74.38344779647007,0.9649507439318331
7.0,7.0,train,0.014564065275452339,81.01203169221975,0.9833253221240486
8.0,8.0,train,0.01417586715334791,79.55570095488693,0.981402796115934
9.0,9.0,train,0.0011548057035142424,24.801531601967596,0.27718962819602266
10.0,10.0,train,6.599058173310097E-4,19.1615872476886,0.16930720398345944
11.0,11.0,train,0.001505727817548487,28.28400521669641,0.34508530880835564
12.0,12.0,train,0.003599039246043027,42.6096532286615,0.6363874928586795
13.0,13.0,train,0.005169229758652181,49.77410628363634,0.7661409879250632
